iter_end,module,count,total_ms,mean_ms,min_ms,max_ms
520,attn_kernel,360,213.3504,0.5926,0.5704,0.8417
520,down_proj,360,22.0334,0.0612,0.0594,0.0635
520,gate_up_proj,360,37.6044,0.1045,0.1014,0.2140
520,mlp,360,67.8533,0.1885,0.1843,0.2980
520,o_proj,360,13.5793,0.0377,0.0369,0.0399
520,qkv_proj,360,14.6033,0.0406,0.0379,0.0686
530,attn,360,248.4070,0.6900,0.6656,0.9759
530,attn_kernel,360,213.8255,0.5940,0.5704,0.8397
530,down_proj,360,22.0375,0.0612,0.0594,0.0645
530,gate_up_proj,360,37.4723,0.1041,0.1014,0.1075
530,mlp,360,67.7284,0.1881,0.1853,0.1925
530,o_proj,360,13.5844,0.0377,0.0358,0.0399
530,qkv_proj,360,14.6319,0.0406,0.0379,0.0676
540,attn,360,248.6456,0.6907,0.6646,0.9861
540,attn_kernel,360,214.0477,0.5946,0.5704,0.8438
540,down_proj,360,22.0099,0.0611,0.0584,0.0635
540,gate_up_proj,360,37.4497,0.1040,0.1014,0.1085
540,mlp,360,67.7120,0.1881,0.1843,0.1925
540,o_proj,360,13.5649,0.0377,0.0369,0.0389
540,qkv_proj,360,14.6422,0.0407,0.0379,0.0819
550,attn,360,248.4193,0.6901,0.6666,0.9748
550,attn_kernel,360,213.8327,0.5940,0.5704,0.8387
550,down_proj,360,22.0027,0.0611,0.0594,0.0635
550,gate_up_proj,360,38.1348,0.1059,0.1014,0.7854
550,mlp,360,68.3848,0.1900,0.1853,0.8714
550,o_proj,360,13.5875,0.0377,0.0369,0.0399
550,qkv_proj,360,14.6381,0.0407,0.0379,0.0819
560,attn,360,248.2022,0.6895,0.6676,0.9667
560,attn_kernel,360,213.6044,0.5933,0.5734,0.8315
560,down_proj,360,22.0672,0.0613,0.0594,0.0635
560,gate_up_proj,360,37.4518,0.1040,0.1014,0.1075
560,mlp,360,67.7079,0.1881,0.1853,0.1935
560,o_proj,360,13.5854,0.0377,0.0369,0.0399
560,qkv_proj,360,14.6196,0.0406,0.0379,0.0676
570,attn,360,248.6825,0.6908,0.6666,0.9769
570,attn_kernel,360,214.1082,0.5947,0.5724,0.8397
570,down_proj,360,22.0355,0.0612,0.0594,0.0645
570,gate_up_proj,360,37.4426,0.1040,0.1014,0.1085
570,mlp,360,67.6987,0.1881,0.1843,0.1925
570,o_proj,360,13.5916,0.0378,0.0358,0.0399
570,qkv_proj,360,14.6094,0.0406,0.0379,0.0676
580,attn,360,248.9784,0.6916,0.6666,1.2165
580,attn_kernel,360,214.2362,0.5951,0.5714,0.9882
580,down_proj,360,22.0355,0.0612,0.0594,0.0635
580,gate_up_proj,360,37.4948,0.1042,0.1014,0.1085
580,mlp,360,67.7233,0.1881,0.1843,0.1925
580,o_proj,360,13.5598,0.0377,0.0369,0.0389
