iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
202,prefill,1,8192,32769,104759.637,104772.424,12.787
203,prefill,2,8192,35741,106112.107,106123.866,11.76
204,prefill,1,8192,13413,107813.845,107827.094,13.25
205,prefill,1,8192,21605,109178.042,109189.954,11.912
206,prefill,1,8192,29797,109789.331,109802.112,12.782
207,prefill,2,8192,30320,111014.962,111028.115,13.154
208,prefill,1,8192,15862,112591.285,112604.166,12.881
209,prefill,2,8192,18108,113609.586,113621.978,12.392
210,prefill,1,8192,14139,114324.263,114336.644,12.381
211,prefill,1,8192,22331,115280.851,115292.804,11.953
212,prefill,2,8192,22449,115989.984,116002.404,12.42
213,prefill,1,8192,16267,117243.907,117256.394,12.487
214,prefill,2,8192,19058,118129.129,118141.191,12.062
215,prefill,1,8192,13594,118909.65,118922.311,12.661
216,prefill,1,8192,21786,119906.068,119917.905,11.837
217,prefill,2,8192,28917,120595.508,120607.867,12.359
218,prefill,1,8192,9254,121828.097,121840.218,12.122
219,prefill,2,8192,12638,123473.202,123485.282,12.079
220,prefill,1,8192,13001,123950.843,123963.29,12.447
221,prefill,1,8192,21193,124823.928,124835.344,11.416
222,prefill,2,8192,24562,125518.089,125530.524,12.435
223,prefill,2,8192,12962,126725.581,126737.922,12.341
224,prefill,1,8192,8247,127881.859,127893.858,11.999
225,prefill,1,8192,16439,128660.925,128672.084,11.159
226,prefill,1,8192,24631,129155.249,129167.839,12.59
227,prefill,2,8192,31222,130154.953,130167.288,12.335
228,prefill,1,8192,9794,131509.944,131522.208,12.264
229,prefill,1,8192,17986,133207.997,133219.919,11.923
230,prefill,2,8192,24475,133689.28,133701.759,12.479
231,prefill,1,8192,9896,134758.736,134770.894,12.158
232,prefill,1,8192,18088,136177.915,136189.715,11.8
233,prefill,2,8192,19312,136689.499,136702.075,12.576
234,prefill,1,8192,15161,137762.043,137774.478,12.435
235,prefill,1,8192,23353,138689.68,138701.375,11.695
236,prefill,2,8192,25293,139433.997,139446.538,12.541
237,prefill,1,8192,14445,140734.026,140746.174,12.147
238,prefill,2,8192,15875,141793.97,141805.65,11.68
239,prefill,2,8192,13378,142487.363,142499.828,12.465
240,prefill,1,8192,9770,143351.123,143362.963,11.84
241,prefill,1,8192,17962,144168.347,144179.85,11.503
242,prefill,1,8192,26154,144728.221,144740.965,12.744
243,prefill,1,8192,34346,145795.788,145808.133,12.345
244,prefill,2,8192,35955,147213.96,147226.234,12.274
245,prefill,1,8192,14776,148982.583,148995.886,13.302
246,prefill,2,8192,16773,150189.699,150202.322,12.623
247,prefill,1,8192,14388,150844.135,150856.756,12.621
248,prefill,1,8192,22580,151755.837,151767.582,11.745
